ProjectUrl,PrjectTitle
https://jira.codecool.codecanvas.hu/projects/TOUCAN/summary,TOUCAN
https://jira.codecool.codecanvas.hu/projects/JETI/summary,JETI
https://jira.codecool.codecanvas.hu/projects/COALA/summary,COALA
